input file for Chapidif
Dielectric function model: Mermin
ELF reference:Novak et al J elec spec rel phen 163 7 2008
density,5.323, unit cell mass,72.64
Amplitude	Gamma(eV)	Omega(eV) 
5.318e-05 	11.32	355.1
4.891e-05 	11.61	364
4.501e-05 	11.9	373.2
4.143e-05 	12.19	382.6
3.815e-05 	12.5	392.2
3.514e-05 	12.81	402
3.237e-05 	13.13	412.1
2.984e-05 	13.46	422.5
2.751e-05 	13.8	433.1
2.537e-05 	14.14	444
2.34e-05 	14.49	455.1
2.16e-05 	14.86	466.5
1.993e-05 	15.23	478.3
1.84e-05 	15.61	490.3
1.7e-05 	16	502.6
1.57e-05 	16.4	515.2
1.45e-05 	16.81	528.1
1.34e-05 	17.23	541.4
1.239e-05 	17.66	554.9
1.145e-05 	18.1	568.9
1.059e-05 	18.55	583.1
9.796e-06 	19.02	597.8
9.061e-06 	19.49	612.8
8.383e-06 	19.98	628.1
7.758e-06 	20.48	643.9
7.18e-06 	20.99	660
6.646e-06 	21.52	676.6
6.152e-06 	22.05	693.5
5.696e-06 	22.61	710.9
5.275e-06 	23.17	728.8
4.885e-06 	23.75	747
4.525e-06 	24.34	765.8
4.192e-06 	24.95	784.9
3.883e-06 	25.58	804.6
3.598e-06 	26.22	824.8
3.334e-06 	26.87	845.5
3.09e-06 	27.54	866.6
2.864e-06 	28.23	888.4
2.654e-06 	28.94	910.6
2.46e-06 	29.66	933.4
2.281e-06 	30.4	956.8
2.115e-06 	31.16	980.8
